Processes: 288 total, 6 running, 1 stuck, 281 sleeping, 976 threads 
2000/12/31 19:35:48
Load Avg: 1.60, 2.65, 12.80 
CPU usage: 25.0% user, 43.96% sys, 31.3% idle 
SharedLibs: 413M resident, 66M data, 172M linkedit.
MemRegions: 37933 total, 1516M resident, 282M private, 377M shared.
PhysMem: 6083M used (1950M wired), 10G unused.
VM: 1277G vsize, 1373M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS PGRP PPID STATE    BOOSTS   %CPU_ME %CPU_OTHRS UID FAULTS COW  MSGSENT MSGRECV SYSBSD  SYSMACH CSW     PAGEINS IDLEW POWER INSTRS CYCLES USER               #MREGS RPRVT  VPRVT  VSIZE  KPRVT  KSHRD 
1245  nbagent          0.0  00:00.21 3     1   144    4628K  0B     0B    1245 1    sleeping  0[0]    0.00000 0.00000    501 6266   392  882     227     2691    1760    932     0       0     0.0   0      0      ryangosdin         117    3128K  56740K 4256M  456K   0B    
1244  studentd         0.0  00:00.55 3     2   134    8548K  77824B 0B    1244 1    sleeping *0[1]    0.00000 0.00000    501 8785   577  1189    341     13626   2514    2727    0       0     0.0   0      0      ryangosdin         143    6740K  61708K 4259M  460K   43196B
1243  com.apple.dock.e 0.0  00:00.25 3     1   167    6544K  65536B 0B    1243 1    sleeping *0[2]    0.00000 0.00000    501 9373   600  1225    300     5033    2375    1057    5       0     0.0   0      0      ryangosdin         158    4344K  177M   4763M  512K   -16K  
1241  LoginUserService 0.0  00:00.04 2     2   27     1376K  0B     0B    1241 1    sleeping *0[4]    0.00000 0.00000    501 1858   266  162     56      984     386     170     0       0     0.0   0      0      ryangosdin         70     516K   54700K 4206M  340K   -34K  
1240  WiFiProxy        0.0  00:00.11 2     1   57     2728K  0B     0B    1240 1    sleeping *0[14]   0.00000 0.00000    501 4015   305  285     140     1908    718     467     0       0     0.0   0      0      ryangosdin         84     1696K  54548K 4232M  380K   -17K  
1237  SystemUIServer   0.0  00:00.73 4     2   278    22300K 196K   0B    1237 1    sleeping *0[10]   0.00000 0.00000    501 17025  779  6054    1819    8171    7745    3294    0       0     0.0   0      0      ryangosdin         364    16500K 209M   4829M  644K   -17K  
1236  ViewBridgeAuxili 0.0  00:00.14 3     2   149    2488K  0B     0B    1236 1    sleeping *0[82]   0.00000 0.00000    501 3644   320  1523    514     2506    2404    1167    0       0     0.0   0      0      ryangosdin         100    1324K  63588K 4242M  408K   -16K  
1234  automountd       0.0  00:00.09 7     1   31     1856K  0B     0B    1234 1    sleeping *0[1]    0.00000 0.00000    0   3905   447  656     144     2220    1054    667     0       0     0.0   0      0      root               80     960K   56880K 4209M  364K   0B    
1231  CoreServicesUIAg 0.0  00:00.66 3     1   144    4580K  0B     0B    1231 1    sleeping *0[1]    0.00000 0.00000    501 4862   390  5787    1078    24870   12662   8077    0       0     0.0   0      0      ryangosdin         118    3100K  56788K 4256M  436K   -17K  
1230  AirPlayUIAgent   0.0  00:00.13 3     1   145    3952K  0B     0B    1230 1    sleeping *0[3]    0.00000 0.00000    501 4829   385  981     257     2431    2038    833     0       0     0.0   0      0      ryangosdin         116    2456K  175M   4756M  496K   -40K  
