Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  165    1 0xffffff7f824ae000 0x2c000    0x2c000    com.apple.iokit.IOSkywalkFamily (1) 3E7E2699-1056-3F56-9637-63199FCE5C60 <17 7 6 5 3 1>
  166    1 0xffffff7f824ea000 0xa5000    0xa5000    com.apple.plugin.IOgPTPPlugin (740.2) 3AC83E6E-05A0-32A0-8A55-CD9F5A3065F0 <165 73 46 18 17 10 7 6 5 3 1>
  167    0 0xffffff7f825a2000 0x10000    0x10000    com.apple.iokit.IOAVBFamily (740.1) 5BC68FC1-5FF2-352F-8445-56F3C809A780 <166 73 18 17 7 6 5 3 1>
  168    0 0xffffff7f817bd000 0x3000     0x3000     com.apple.AGDCPluginDisplayMetrics (3.28.4) 80FF8D30-0F1F-3EAD-8C06-126254E42C02 <129 8 7 6 5 3 1>
  170    0 0xffffff7f83127000 0x19000    0x19000    com.apple.driver.AGPM (110.23.46) 9A7BD08F-08E4-3DB7-A339-706609B0149A <133 129 122 118 13 7 6 5 3>
  171    0 0xffffff7f83179000 0x5000     0x5000     com.apple.driver.AppleHWSensor (1.9.5d0) 9F99C105-07B7-3A5D-B8A3-A9E031FD1D1C <6 5 3>
  172    1 0xffffff7f8326e000 0x5000     0x5000     com.apple.kext.triggers (1.0) A17775CD-3437-3675-8446-499516C34FD4 <8 7 6 5 3 1>
  173    0 0xffffff7f83273000 0x9000     0x9000     com.apple.filesystems.autofs (3.0) BA44C5A7-7AA3-3817-8AFA-0DC502E7CF54 <172 8 7 6 5 3 2 1>
  174    0 0xffffff7f83582000 0x5000     0x5000     com.apple.driver.AudioAUUC (1.70) E7ED2AF5-F799-3CBD-9431-6A78831217E7 <118 105 13 12 8 6 5 3 1>
  175    0 0xffffff7f814c9000 0x18000    0x18000    com.apple.fileutil (20.036.15) 92C5506A-2BCE-3F0F-BB83-F4A41FE78F45 <6 5 3 2 1>
  177    0 0xffffff7f8378e000 0x7000     0x7000     com.apple.driver.usb.cdc (5.0.0) F650BF0A-8875-355D-BECD-3F56BA686197 <102 101 24 6 5 3 1>
  178    0 0xffffff7f83795000 0x65000    0x65000    com.apple.driver.AppleUSBAudio (315.6) 7E06746D-D4F1-3041-9051-0ECB3DFCB22A <106 105 101 56 24 13 6 5 3 1>
