Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   36    0 0xffffff7f8311b000 0xc000     0xc000     com.apple.driver.AppleFDEKeyStore (28.30) CBBE5FA3-354C-3876-8B9C-8998FE5C2A77 <35 9 8 7 6 5 3 1>
   37    0 0xffffff7f831e2000 0x29000    0x29000    com.apple.driver.AppleIntelCPUPowerManagement (220.0.0) 1556F86B-CAA3-32C6-9426-5D21BC673189 <8 7 6 5 3 1>
   38    0 0xffffff7f835e4000 0x19000    0x19000    com.apple.driver.DiskImages (493.0.0) F5DEB22E-71B3-3AE5-9FFF-AD7F5A72ADD0 <28 8 7 6 5 3 1>
   39    2 0xffffff7f811a8000 0x5000     0x5000     com.apple.kext.AppleMatch (1.0.0d1) 4717F5BF-980C-37DE-998E-7B03D973FA37 <5 1>
   40    2 0xffffff7f811ad000 0x31000    0x31000    com.apple.security.sandbox (300.0) ECE8D480-5444-3317-9844-559B22736E5A <39 32 28 8 7 6 5 3 2 1>
   41    1 0xffffff7f811de000 0x8000     0x8000     com.apple.security.quarantine (3) 11DE02EC-241D-35AA-BBBB-A2E7969F20A2 <40 39 8 7 6 5 2 1>
   42    0 0xffffff7f835e1000 0x2000     0x2000     com.apple.security.TMSafetyNet (8) 274F94DF-53A8-3977-AFD1-BCCC2B4BB828 <8 7 6 5 2 1>
   43    0 0xffffff7f83715000 0x9000     0x9000     com.apple.nke.applicationfirewall (201) 9DA613BC-BDE0-3F81-8AED-2B88605A404B <8 7 6 5 3 1>
   44    0 0xffffff7f83269000 0x3000     0x3000     com.apple.driver.AppleIntelCPUPowerManagementClient (220.0.0) 9BF303F3-790F-3D3C-804B-83B25311A176 <8 7 6 5 3 1>
   45    0 0xffffff7f83770000 0x3000     0x3000     com.apple.driver.AppleAPIC (1.7) A55A820B-FD58-37F3-95B2-C395DB93CDEB <13 5 3>
   46    9 0xffffff7f811f3000 0x7f000    0x7f000    com.apple.iokit.IOHIDFamily (2.0.0) 43464787-35A5-36AA-92F4-D76B57A1B411 <8 7 6 5 3 2 1>
   47    3 0xffffff7f82790000 0x4000     0x4000     com.apple.iokit.IOSMBusFamily (1.1) 57451E9D-A49B-3CCC-A716-42813985D023 <6 5 3>
   48    0 0xffffff7f82c29000 0x7000     0x7000     com.apple.driver.AppleACPIEC (6.1) DB39435E-65E5-373D-AB9A-E7CC93AB4DF6 <47 46 19 15 12 8 7 6 5 3 1>
   49    0 0xffffff7f82fe4000 0x4000     0x4000     com.apple.driver.AppleSMBIOS (2.1) 2D6CCE97-0121-315F-BBF6-2D2DA3ED8D6C <8 5 3>
   50    0 0xffffff7f833f7000 0x3000     0x3000     com.apple.driver.AppleHPET (1.8) 77230D9E-AC65-31CF-B159-0595927A9BF7 <12 8 6 5 3>
